,Unnamed: 0,recipe_id,recipe_name,recipeSummary,num_of_serving,serving_size,item_unit,recipe_weight,recipe_type_id,recipe_notes,prepare_time,description,total_carbohydrate,total_protein,total_energy,total_lipid_fat,recipe_image,food_type
82,82,RP100082,Mushroom Risotto,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,7,220,ml,360,111,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,5 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",8.39,20.44,1146,25.49,https://dummyimage.com/218x53,recipe
83,83,RP100083,Chicken Alfredo Pasta,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,10,220,ml,220,134,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",15 min,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,39.34,78.37,736,12.74,https://picsum.photos/141/724,recipe
84,84,RP100084,Chicken Alfredo Pasta,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,10,130,gm,840,90,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,25 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",112.96,71.6,991,6.24,https://picsum.photos/17/265,recipe
85,85,RP100085,Vegetarian Stir-Fry,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",2,200,ml,200,132,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,15 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",93.61,55.84,356,40.73,https://placekitten.com/532/242,recipe
86,86,RP100086,Grilled Salmon with Lemon,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,8,160,ml,840,85,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,30 min,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,100.05,44.43,780,11.48,https://placekitten.com/745/47,recipe
87,87,RP100087,Vegan Lentil Soup,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,5,200,ml,220,37,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",5 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",67.68,18.37,433,2.2,https://picsum.photos/347/465,recipe
88,88,RP100088,Vegan Lentil Soup,Hearty vegan lentil soup packed with vegetables and aromatic spices.,8,160,gm,160,184,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",5 min,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",224.54,77.14,1480,16.88,https://dummyimage.com/403x615,recipe
89,89,RP100089,Chicken Alfredo Pasta,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",8,150,ml,1000,163,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,10 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",194.28,19.29,1347,20.59,https://placekitten.com/882/669,recipe
90,90,RP100090,Chicken Caesar Salad,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,6,200,gm,840,97,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,30 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",238.98,22.84,1460,47.3,https://dummyimage.com/33x375,recipe
91,91,RP100091,Chicken Caesar Salad,Hearty vegan lentil soup packed with vegetables and aromatic spices.,2,150,ml,1000,137,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,15 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",74.55,72.55,475,1.66,https://placekitten.com/392/950,recipe
92,92,RP100092,Beef Tacos,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,3,220,gm,1000,63,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,10 min,"Fresh and crisp salad with grilled chicken, romaine lettuce, and Caesar dressing.",89.56,13.36,568,9.76,https://dummyimage.com/596x562,recipe
93,93,RP100093,Beef Tacos,Hearty vegan lentil soup packed with vegetables and aromatic spices.,7,210,ml,160,167,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,15 min,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",75.26,32.54,1056,30.12,https://placekitten.com/653/567,recipe
94,94,RP100094,Beef Tacos,"Tasty beef tacos with seasoned meat, lettuce, tomatoes, and cheese.",6,160,gm,640,94,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",10 min,Hearty vegan lentil soup packed with vegetables and aromatic spices.,274.62,18.2,863,40.95,https://dummyimage.com/713x582,recipe
95,95,RP100095,Spaghetti Bolognese,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",2,130,ml,360,91,Creamy and savory mushroom risotto made with Arborio rice and mushrooms.,10 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",13.01,21.78,1120,12.42,https://dummyimage.com/789x484,recipe
96,96,RP100096,Vegetarian Stir-Fry,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",1,150,ml,840,68,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",10 min,"Creamy pasta dish with grilled chicken, Alfredo sauce, and Parmesan cheese.",119.18,4.27,324,14.85,https://placekitten.com/904/848,recipe
97,97,RP100097,Margherita Pizza,Garlic-infused shrimp cooked in a white wine and lemon butter sauce.,2,160,gm,640,196,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,25 min,"Simple and delicious pizza with tomato sauce, fresh mozzarella, and basil.",72.99,63.21,591,22.04,https://picsum.photos/326/806,recipe
98,98,RP100098,Spaghetti Bolognese,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",6,130,gm,640,105,"Classic Italian dish with ground beef, tomatoes, and herbs served over spaghetti.",30 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,162.88,29.31,613,42.41,https://dummyimage.com/83x817,recipe
99,99,RP100099,Grilled Salmon with Lemon,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,8,160,ml,200,126,Healthy stir-fry with a mix of colorful vegetables and tofu or your choice of protein.,5 min,Light and flavorful grilled salmon fillets drizzled with fresh lemon juice.,290.55,65.02,1045,18.2,https://dummyimage.com/323x709,recipe
